Date,Open,High,Low,Close,Adj Close,Volume
2021-11-26,46.369999,46.410000,45.400002,45.529999,45.529999,144200
2021-11-29,46.189999,46.340000,45.669998,46.169998,46.169998,339400
2021-11-30,44.290001,44.840000,44.169998,44.380001,44.380001,319000
2021-12-01,45.759998,45.930000,44.970001,45.020000,45.020000,239200
2021-12-02,46.320000,47.349998,46.250000,47.189999,47.189999,292400
2021-12-03,47.980000,48.150002,47.619999,47.790001,47.790001,216400
2021-12-06,48.209999,48.970001,48.130001,48.830002,48.830002,143000
2021-12-07,48.950001,49.160000,48.849998,48.950001,48.950001,193700
2021-12-08,48.919998,49.529999,48.849998,49.450001,49.450001,211200
2021-12-09,48.799999,49.080002,48.610001,48.860001,48.860001,274000
2021-12-10,48.910000,49.139999,48.869999,49.029999,49.029999,206200
2021-12-13,48.419998,48.430000,48.009998,48.130001,48.130001,146300
2021-12-14,48.270000,48.709999,47.959999,48.209999,48.209999,244500
2021-12-15,48.259998,48.540001,47.610001,48.380001,48.380001,162300
2021-12-16,48.250000,48.750000,47.980000,48.119999,48.119999,435900
2021-12-17,49.200001,49.200001,48.279999,48.369999,48.369999,351300
2021-12-20,47.669998,47.750000,47.000000,47.470001,47.470001,263200
2021-12-21,47.849998,48.200001,47.750000,48.119999,48.119999,145700
2021-12-22,47.790001,48.349998,47.720001,48.340000,48.340000,155600
2021-12-23,48.259998,48.599998,48.259998,48.520000,48.520000,303200
2021-12-27,48.060001,48.240002,47.720001,48.200001,48.200001,86000
2021-12-28,47.810001,48.259998,47.810001,48.009998,48.009998,75100
2021-12-29,47.220001,47.220001,46.910000,46.939999,46.939999,107000
2021-12-30,46.490002,46.560001,46.169998,46.250000,46.250000,182600
2021-12-31,46.070000,46.360001,46.029999,46.160000,46.160000,82500
2022-01-03,46.470001,46.970001,46.369999,46.919998,46.919998,110800
2022-01-04,47.279999,47.650002,47.139999,47.259998,47.259998,131100
2022-01-05,47.439999,47.480000,46.779999,46.820000,46.820000,102200
2022-01-06,46.900002,47.070000,46.490002,46.860001,46.860001,172200
2022-01-07,46.520000,47.290001,46.369999,47.240002,47.240002,262300
2022-01-10,47.970001,48.400002,47.910000,48.360001,48.360001,166500
2022-01-11,49.990002,50.990002,49.950001,50.959999,50.959999,323900
2022-01-12,51.610001,52.389999,51.610001,52.380001,52.380001,172200
2022-01-13,52.279999,52.950001,52.150002,52.310001,52.310001,183800
2022-01-14,52.049999,52.740002,51.669998,52.730000,52.730000,126400
2022-01-18,52.060001,52.169998,51.290001,51.410000,51.410000,230800
2022-01-19,52.029999,52.450001,51.740002,51.840000,51.840000,147100
2022-01-20,50.310001,50.939999,49.869999,49.990002,49.990002,256900
2022-01-21,50.349998,50.950001,50.139999,50.330002,50.330002,179100
2022-01-24,48.770000,49.230000,48.040001,49.220001,49.220001,209700
2022-01-25,47.770000,48.990002,47.689999,48.650002,48.650002,324800
2022-01-26,49.759998,50.009998,48.980000,49.290001,49.290001,221100
2022-01-27,48.580002,48.990002,48.009998,48.360001,48.360001,204600
2022-01-28,48.799999,49.169998,48.669998,49.139999,49.139999,165700
2022-01-31,49.189999,49.930000,48.930000,49.799999,49.799999,156200
2022-02-01,50.049999,50.700001,49.799999,50.599998,50.599998,209000
2022-02-02,50.830002,51.040001,50.590000,51.020000,51.020000,121400
2022-02-03,49.709999,50.220001,49.389999,49.730000,49.730000,216400
2022-02-04,50.299999,51.200001,50.299999,50.939999,50.939999,234800
2022-02-07,51.009998,51.509998,50.980000,51.180000,51.180000,111100
2022-02-08,51.369999,52.660000,51.240002,52.160000,52.160000,128900
2022-02-09,53.150002,53.619999,52.980000,53.320000,53.320000,239900
2022-02-10,53.500000,54.450001,53.160000,53.939999,53.939999,302500
2022-02-11,54.439999,55.310001,54.150002,54.369999,54.369999,250900
2022-02-14,53.540001,53.889999,53.070000,53.470001,53.470001,161200
2022-02-15,53.459999,54.439999,53.419998,54.310001,54.310001,138200
